Sales_ID,Sale_Date,Vehicle_Type,Price_Range,Sales_Volume,Region,State,Income_Level,Monsoon_Index,Repo_Rate,Inventory_Days,Export_Flag,Export_Region,Fuel_Type,Emission_Norm,Discount_Percentage,Consumer_Sentiment,Supply_Chain_Disruption,Festive_Season,Vehicle_Model
1,2025-04-15,Scooter,Entry-Level (<₹10L),175,Rural,Tamil Nadu,Medium,87.36,5.34,86,False,,Petrol,BS6,13.74,35.07,False,False,TVS Jupiter
2,2025-06-11,SUV,Premium (>₹20L),469,Semi-Urban,Bihar,Medium,,5.59,22,False,,Electric,BS6,4.8,30.63,True,False,Toyota Fortuner
3,2025-05-31,SUV,Entry-Level (<₹10L),506,Urban,Delhi,Medium,,4.43,22,False,,Petrol,BS6,11.32,88.3,False,False,Tata Nexon
4,2025-04-21,SUV,Premium (>₹20L),776,Semi-Urban,Gujarat,Low,,4.92,18,False,,Petrol,BS6,1.63,56.97,False,False,MG Hector
5,2025-06-22,Passenger Car,Entry-Level (<₹10L),104,Semi-Urban,Rajasthan,Medium,,4.51,80,False,,Hybrid,BS6,16.23,40.48,False,True,Renault Kwid
6,2025-06-26,Scooter,Mid-Range (₹10L-₹20L),284,Urban,Gujarat,Medium,,4.72,62,False,,Diesel,BS6,7.19,80.16,False,True,Bajaj Chetak
7,2025-06-14,Motorcycle,Mid-Range (₹10L-₹20L),35,Urban,Bihar,Medium,,4.76,32,False,,Petrol,BS6,4.0,94.1,False,False,KTM Duke 200
8,2025-06-14,Motorcycle,Entry-Level (<₹10L),186,Rural,Gujarat,Medium,86.36,4.76,52,True,Japan,Petrol,BS6,6.85,69.45,False,False,KTM Duke 200
9,2025-06-27,SUV,Mid-Range (₹10L-₹20L),322,Urban,Uttar Pradesh,Medium,,4.57,44,False,,Petrol,BS6,3.63,83.47,False,True,Tata Nexon
10,2025-04-24,Motorcycle,Entry-Level (<₹10L),141,Rural,Odisha,Low,86.38,5.01,37,False,,Petrol,BS6,6.88,62.54,False,False,Royal Enfield Classic 350
11,2025-04-03,Passenger Car,Entry-Level (<₹10L),133,Rural,Odisha,Low,73.23,3.76,54,False,,Diesel,BS6,14.69,40.0,False,False,Maruti Alto
12,2025-04-22,Scooter,Entry-Level (<₹10L),107,Rural,Bihar,Low,59.83,4.43,74,True,Latin America,Petrol,BS6,7.91,43.83,False,False,TVS Jupiter
13,2025-05-23,SUV,Mid-Range (₹10L-₹20L),539,Urban,Madhya Pradesh,Low,,5.67,31,True,Others,Electric,BS6,8.88,64.19,False,False,Tata Nexon
14,2025-04-02,SUV,Premium (>₹20L),476,Urban,Maharashtra,Medium,,5.5,36,False,,Petrol,BS6,2.58,95.4,False,False,Tata Nexon
15,2025-06-27,Motorcycle,Mid-Range (₹10L-₹20L),160,Urban,Assam,Medium,,4.87,66,False,,Petrol,BS6,6.09,90.76,False,True,Royal Enfield Classic 350
16,2025-04-30,SUV,Premium (>₹20L),170,Rural,Maharashtra,Low,53.98,4.6,16,False,,Diesel,BS6,1.69,62.87,False,False,Kia Seltos
17,2025-05-08,Motorcycle,Premium (>₹20L),489,Rural,Kerala,Medium,52.42,4.76,48,False,,Petrol,BS6,7.9,56.54,False,False,KTM Duke 200
18,2025-04-02,SUV,Premium (>₹20L),986,Urban,Uttar Pradesh,Medium,,4.33,47,False,,Petrol,BS6,3.15,65.16,False,False,MG Hector
19,2025-06-03,SUV,Mid-Range (₹10L-₹20L),344,Rural,Punjab,Low,62.96,4.72,35,True,Middle East,Petrol,BS6,7.57,59.27,False,False,Hyundai Creta
20,2025-05-30,Motorcycle,Entry-Level (<₹10L),157,Urban,Bihar,Medium,,4.57,27,False,,Petrol,BS6,15.3,96.53,False,False,KTM Duke 200
21,2025-04-21,Motorcycle,Mid-Range (₹10L-₹20L),397,Rural,Punjab,Medium,54.79,4.4,44,False,,Hybrid,BS6,0.92,56.96,True,False,Royal Enfield Classic 350
22,2025-05-03,Motorcycle,Entry-Level (<₹10L),174,Semi-Urban,Odisha,Medium,,4.34,91,False,,Petrol,BS6,17.02,46.42,False,False,Hero Splendor
23,2025-06-15,SUV,Mid-Range (₹10L-₹20L),568,Urban,Uttar Pradesh,High,,5.31,27,False,,Electric,BS6,2.69,92.48,False,False,Hyundai Creta
24,2025-05-28,Passenger Car,Entry-Level (<₹10L),318,Rural,Assam,Medium,51.56,4.79,52,False,,Hybrid,BS6,14.79,60.95,False,False,Maruti Swift
25,2025-04-22,SUV,Premium (>₹20L),379,Rural,West Bengal,Low,74.06,4.68,30,False,,Petrol,BS6,6.86,63.33,False,False,Toyota Fortuner
26,2025-06-28,SUV,Premium (>₹20L),1005,Rural,West Bengal,Low,88.88,4.34,38,False,,Diesel,BS6,8.84,64.51,False,True,Tata Nexon
27,2025-05-19,SUV,Mid-Range (₹10L-₹20L),196,Rural,West Bengal,Medium,88.15,4.65,10,False,,Hybrid,BS6,5.0,42.21,False,False,Toyota Fortuner
28,2025-05-29,Motorcycle,Entry-Level (<₹10L),118,Urban,Uttar Pradesh,Medium,,4.22,38,False,,Petrol,BS6,9.25,60.01,False,False,TVS Apache
