Job_ID,City,Industry,Job_Role,Skill_Set,Experience_Level,Salary_Range,Company_Name,Talent_Inflow,Talent_Outflow,Infrastructure_Score,Smart_City_Investment,GCC_Presence,MSME_Growth_Rate,Unemployment_Rate,Education_Hubs,Cost_of_Living_Index,Job_Posting_Date
1,Ranchi,Retail,Retail,"Customer Service, English",Mid-Level,622099.18,Reliance Retail,1159,1583,74.25,9162.21,0,6.2,9.28,29,74.65,2023-10-15
2,Vijayawada,Tech,AI/ML,"Python, Deep Learning, TensorFlow, NLP",Entry-Level,613072.56,HCLTech,3779,618,84.11,4862.53,1,2.78,3.32,7,96.37,2023-03-31
3,Ranchi,Retail,Retail,"MS Office, Customer Service",Entry-Level,466698.78,Reliance Retail,1596,1565,54.9,5226.14,0,4.85,5.99,34,60.63,2024-12-25
4,Vadodara,Manufacturing,Sales,"Negotiation, Communication",Entry-Level,352905.66,Reliance Retail,1318,1227,73.16,4400.15,0,4.97,9.14,7,64.78,2023-08-11
5,Agra,Education,Data Science,"SQL, Python, Data Visualization",Senior-Level,1948630.28,Reliance Retail,1169,2511,52.7,2257.42,0,3.99,6.6,7,66.45,2023-06-03
6,Agra,Pharma,Others,"English, Customer Service, MS Office",Senior-Level,1223882.76,Others,1457,1598,72.31,4584.37,0,3.82,11.03,12,81.36,2024-08-31
7,Ranchi,Education,Retail,"MS Office, English, Customer Service",Entry-Level,300000.0,Reliance Retail,743,1590,56.35,6234.38,0,4.13,5.23,20,87.23,2025-02-19
8,Ranchi,Education,Business Development,"Market Analysis, Sales",Mid-Level,566637.29,Others,618,1550,70.08,7351.5,0,3.21,11.01,23,80.48,2023-05-21
9,Nashik,Pharma,Business Development,"CRM, Market Analysis, Sales",Mid-Level,885813.77,Reliance Retail,542,1686,52.84,2031.77,1,13.3,5.65,9,95.31,2024-03-14
10,Rajkot,Healthcare,Business Development,"CRM, Sales, Market Analysis",Entry-Level,300000.0,Reliance Retail,1408,1641,72.19,4141.36,0,12.9,6.99,6,87.68,2023-08-15
11,Madurai,Manufacturing,Data Science,"SQL, Statistics, Data Visualization",Entry-Level,300000.0,Reliance Retail,1393,1847,66.44,2470.86,0,9.78,9.42,19,85.8,2023-10-21
12,Visakhapatnam,Pharma,Data Science,"Data Visualization, SQL, Python",Entry-Level,300910.87,Reliance Retail,3891,490,91.53,4533.98,1,4.65,3.66,17,75.4,2024-10-01
13,Rajkot,Healthcare,AI/ML,"TensorFlow, NLP, Deep Learning, Python",Entry-Level,312845.62,Others,377,1551,65.38,3073.32,0,13.7,7.06,13,84.46,2023-07-21
14,Nashik,Retail,Business Development,"Market Analysis, CRM, Sales",Entry-Level,323119.04,Others,408,1648,51.27,3315.46,1,12.19,10.87,14,92.9,2023-10-11
15,Vijayawada,Tech,Engineering,"Project Management, Java, Python, SQL",Mid-Level,1165437.39,HCLTech,2839,280,82.97,4903.41,1,8.36,3.32,9,63.23,2024-12-02
16,Vijayawada,Tech,AI/ML,"TensorFlow, Deep Learning, Python, NLP",Entry-Level,532078.78,Reliance Retail,2442,749,76.41,3066.79,1,7.84,3.7,9,63.77,2024-10-31
